
CONTENTS,
,,
Section 2 - All Students,
,,
,"Table 1: All Students by Age Group and Broad Level of Course, Full Year 2006"
,"Table 2: All Domestic Students by Age Group and Broad Level of Course, Full Year 2006"
,"Table 3: All Students by Level of Course, Broad Field of Education and Gender, Full Year 2006"
,"Table 4: All Students by State of Permanent Home Residence and State of Higher Education Provider of Study, Full Year 2006"
,"Table 5: All Students by State, Higher Education Provider and Broad Level of Course, Full Year 2006"
,"Table 6: All Domestic Students by State, Higher Education Provider and Broad Level of Course, Full Year 2006"
,"Table 7: All Students by State, Higher Education Provider, Mode of Attendance, Type of Attendance and Gender, Full Year 2006"
,"Table 8: All Students by State, Higher Education Provider and Broad Field of Education, Full Year 2006"
,"Table 9: All Domestic Students by State, Higher Education Provider and Broad Field of Education, Full Year 2006"
,"Table 10: All Students by State, Higher Education Provider, Citizenship and Residence Status, Full Year 2006"
,,
,,
< Back to Contents >,,,,,,,,,,,,,
"Table 1: All Students by Age Group and Broad Level of Course, Full Year 2006",,,,,,,,,,,,,
Age Group,Doctorate by Research,Doctorate by Coursework,Master's by Research,Master's by Coursework,Other Postgraduate,Sub-total Postgraduate,Bachelor,Associate Degree,Other Undergraduate,Sub-total Undergraduate,Enabling Courses,Non-award Courses,TOTAL
State Sub-total,"2,424",32,232,"4,728","2,474","9,890","17,180",12,73,"17,265",16,723,"27,894"
Multi-State,,,,,,,,,,,,,
Australian Catholic University,280,9,70,"1,824","1,676","3,859","9,214",89,147,"9,450",0,658,"13,967"
Australian College of Theology Council Incorporated,15,56,22,473,546,"1,112",842,19,590,"1,451",0,0,"2,563"
State Sub-total,295,65,92,"2,297","2,222","4,971","10,056",108,737,"10,901",0,658,"16,530"
,,,,,,,,,,,,,,
TOTAL,"40,511","1,806","8,956","148,705","70,471","270,449","669,817","4,922","8,934","683,673","7,309","22,715","984,146"
Total 2005,"38,953","1,841","9,248","146,299","67,163","263,504","652,731","2,856","9,940","665,527","5,704","22,442","957,177"
% change on 2005,4.0%,-1.9%,-3.2%,1.6%,4.9%,2.6%,2.6%,72.3%,-10.1%,2.7%,28.1%,1.2%,2.8%
< Back to Contents >,,,,,,,,,,,,,
"Table 6: All Domestic Students by State, Higher Education Provider and Broad Level of Course, Full Year 2006",,,,,,,,,,,,,
State/Provider,Doctorate by Research,Doctorate by Coursework,Master's by Research,Master's by Coursework,Other Postgraduate,Sub-total Postgraduate,Bachelor,Associate Degree,Other Undergraduate,Sub-total Undergraduate,Enabling Courses,Non-award Courses,TOTAL
New South Wales,,,,,,,,,,,,,
ACPE Limited,0,0,0,0,0,0,834,0,0,834,0,0,834
Australian College of Applied Psychology Pty Ltd,0,0,0,0,698,698,845,4,1,850,0,0,"1,548"
"Australian Film, Television and Radio School",0,0,0,41,73,114,0,0,0,0,0,0,114
Avondale College,0,0,1,85,31,117,826,0,85,911,0,35,"1,063"
Blue Mountains International Hotel Management School,0,0,0,0,2,2,34,0,9,43,0,0,45
Campion Institute Limited,0,0,0,0,0,0,16,0,0,16,0,0,16
Charles Sturt University,329,58,37,"3,748","2,783","6,955","17,292","2,504",171,"19,967",625,783,"28,330"
East Coast Gestalt Training,0,0,0,0,60,60,0,0,0,0,0,0,60
Jansen Newman Institute,0,0,0,0,35,35,19,0,0,19,0,0,54
KvB Visual Concepts Pty Ltd,0,0,0,0,0,0,112,0,0,112,0,0,112
Macquarie University,915,0,195,"3,691","1,797","6,598","12,924",0,211,"13,135",0,925,"20,658"
Moore Theological College,0,0,1,43,0,44,268,0,0,268,0,0,312
National Institute of Dramatic Art,0,0,0,0,9,9,155,0,1,156,0,0,165
Raffles KVB Institute Pty Ltd,0,0,0,0,0,0,95,0,0,95,0,0,95
Southern Cross University,367,0,54,877,508,"1,806","8,223",501,0,"8,724",143,164,"10,837"
Sydney College of Divinity,12,8,7,571,49,647,790,0,74,864,0,16,"1,527"
Sydney Institute of Business and Technology Pty Ltd,0,0,0,0,0,0,0,0,572,572,0,0,572
Tabor College (NSW) Incorporated,0,0,0,0,5,5,46,0,0,46,0,0,51
The Australian Institute of Music Limited,0,0,0,0,12,12,323,0,37,360,0,0,372
The College of Law Pty Ltd.,0,0,0,0,843,843,0,0,0,0,0,0,843
The University of New England,479,10,194,"1,471","2,264","4,418","11,115",0,414,"11,529",52,96,"16,095"
The University of New South Wales,"1,887",0,433,"5,175","2,931","10,426","19,294",0,22,"19,316",0,416,"30,158"
The University of Newcastle,668,58,273,"1,797","1,085","3,881","14,990",0,0,"14,990","1,825",77,"20,773"
The University of Sydney,"2,645",33,656,"4,896","1,878","10,108","25,422",0,196,"25,618",15,427,"36,168"
"University of Technology, Sydney",825,0,239,"4,281","2,310","7,655","15,858",0,2,"15,860",48,195,"23,758"
University of Western Sydney,592,1,85,"1,613",995,"3,286","24,663",0,9,"24,672",18,489,"28,465"
University of Wollongong,729,6,199,894,646,"2,474","10,488",0,19,"10,507",242,32,"13,255"
Wesley Institute,0,0,0,52,72,124,136,0,0,136,0,0,260
State Sub-total,"9,448",174,"2,374","29,235","19,086","60,317","164,768","3,009","1,823","169,600","2,968","3,655","236,540"
Victoria,,,,,,,,,,,,,
Australian Institute of Public Safety Pty Ltd,0,0,0,0,0,0,0,0,186,186,0,0,186
Box Hill Institute of Technical and Further Education,0,0,0,0,0,0,169,0,0,169,0,0,169
Deakin University,747,4,56,"3,433","2,369","6,609","19,271",75,315,"19,661",0,217,"26,487"
Gordon Institute of TAFE,0,0,0,0,0,0,4,0,0,4,0,0,4
Harvest Bible College,0,0,0,5,0,5,80,0,0,80,0,0,85
Holmes Institute,0,0,0,0,0,0,66,0,0,66,0,0,66
La Trobe University,961,9,221,"1,974","2,342","5,507","17,010",0,3,"17,013",19,159,"22,698"
Marcus Oldham College,0,0,0,0,0,0,44,0,4,48,0,0,48
Melbourne College of Divinity,54,0,87,155,244,540,227,0,16,243,0,0,783
Melbourne Institute of Business and Technology Pty Ltd,0,0,0,0,0,0,0,0,134,134,0,0,134
Melbourne Institute of Technology,0,0,0,0,0,0,0,0,6,6,0,0,6
Monash College Group,0,0,0,0,0,0,0,0,102,102,0,0,102
Monash University,"2,075",0,677,"4,627","3,532","10,911","25,803",38,361,"26,202",0,624,"37,737"
Northern Melbourne Institute of TAFE,0,0,0,0,0,0,17,0,0,17,0,0,17
Oceania Polytechnic Institute of Education Pty Ltd,0,0,0,0,0,0,36,0,0,36,0,0,36
RMIT University,899,18,420,"3,303","2,074","6,714","16,813",8,0,"16,821",0,18,"23,553"
Swinburne University of Technology,389,0,42,"1,476","1,453","3,360","8,067",0,0,"8,067",0,148,"11,575"
Tabor College - Victoria,0,0,0,11,43,54,199,0,0,199,0,0,253
The Southern School of Natural Therapies Limited,0,0,0,0,0,0,242,0,0,242,0,0,242
The University of Melbourne,"3,131",146,912,"3,991","3,570","11,750","20,917",0,336,"21,253",0,10,"33,013"
University of Ballarat,140,0,29,309,537,"1,015","3,574",0,0,"3,574",22,21,"4,632"
Victoria University,448,34,51,"1,235",663,"2,431","11,845",0,0,"11,845",165,192,"14,633"
State Sub-total,"8,844",211,"2,495","20,519","16,827","48,896","124,384",121,"1,463","125,968",206,"1,389","176,459"
Queensland,,,,,,,,,,,,,
Australian College of Natural Medicine,0,0,0,0,0,0,"1,398",0,0,"1,398",0,0,"1,398"
Bond University,31,15,1,338,171,556,"1,367",3,0,"1,370",0,66,"1,992"
Central Queensland University,205,15,69,582,879,"1,750","8,679",27,281,"8,987",598,71,"11,406"
Christian Heritage College,0,0,0,63,110,173,521,17,83,621,0,2,796
Griffith University,"1,045",38,133,"1,992","1,256","4,464","21,960",0,0,"21,960",0,553,"26,977"
James Cook University,437,49,77,659,632,"1,854","10,035",0,87,"10,122",59,35,"12,070"
Queensland Institute of Business and Technology Pty Ltd,0,0,0,0,0,0,0,0,84,84,0,0,84
Queensland University of Technology,919,20,347,"2,358","3,307","6,951","25,883",0,0,"25,883",0,584,"33,418"
Shafston Institute of Technology,0,0,0,0,0,0,0,0,20,20,0,0,20
The University of Queensland,"2,511",88,412,"2,759","1,384","7,154","23,407",0,268,"23,675",0,82,"30,911"
University of Southern Queensland,128,32,33,"1,973","1,231","3,397","10,241",668,209,"11,118",896,937,"16,348"
University of the Sunshine Coast,58,0,14,226,364,662,"3,712",0,0,"3,712",161,106,"4,641"
State Sub-total,"5,334",257,"1,086","10,950","9,334","26,961","107,203",715,"1,032","108,950","1,714","2,436","140,061"
Western Australia,,,,,,,,,,,,,
Curtin International College,0,0,0,0,0,0,0,0,13,13,0,0,13
Curtin University of Technology,"1,043",1,219,"2,124","2,180","5,567","16,608",296,1,"16,905",183,303,"22,958"
Edith Cowan University,312,85,150,"1,126","2,307","3,980","14,452",62,5,"14,519",488,18,"19,005"
Murdoch University,666,23,123,456,869,"2,137","9,307",0,0,"9,307",119,26,"11,589"
Perth Bible College,0,0,0,0,0,0,25,0,21,46,0,0,46
Perth Institute of Business and Technology Pty Ltd,0,0,0,0,0,0,0,0,54,54,0,0,54
The University of Notre Dame Australia,38,0,10,396,227,671,"4,006",0,16,"4,022",98,262,"5,053"
The University of Western Australia,"1,308",3,308,919,690,"3,228","11,073",0,6,"11,079",33,0,"14,340"
State Sub-total,"3,367",112,810,"5,021","6,273","15,583","55,471",358,116,"55,945",921,609,"73,058"
South Australia,,,,,,,,,,,,,
Adelaide College of Divinity,0,0,0,6,0,6,39,0,0,39,0,0,45
Australian Lutheran College,0,0,0,12,117,129,51,0,155,206,0,0,335
Carnegie Mellon University,0,0,0,42,0,42,0,0,0,0,0,0,42
International College of Hotel Management Inc,0,0,0,0,0,0,1,0,0,1,0,0,1
South Australian Institute of Business and Technology Pty Ltd,0,0,0,0,0,0,0,0,107,107,0,0,107
Tabor College Adelaide,0,13,0,32,76,121,584,17,0,601,0,0,722
The Flinders University of South Australia,666,67,109,877,976,"2,695","9,465",0,20,"9,485",0,66,"12,246"
The University of Adelaide,"1,414",13,165,846,"1,087","3,525","10,622",0,130,"10,752",35,75,"14,387"
University of South Australia,622,45,65,"1,575","2,081","4,388","17,945",93,81,"18,119",298,183,"22,988"
State Sub-total,"2,702",138,339,"3,390","4,337","10,906","38,707",110,493,"39,310",333,324,"50,873"
Tasmania,,,,,,,,,,,,,
Australian Maritime College,9,0,4,24,73,110,320,0,580,900,0,1,"1,011"
Tabor College Tasmania,0,0,0,0,0,0,40,0,0,40,0,0,40
University of Tasmania,913,0,210,392,753,"2,268","10,574",303,43,"10,920",303,8,"13,499"
State Sub-total,922,0,214,416,826,"2,378","10,934",303,623,"11,860",303,9,"14,550"
Northern Territory,,,,,,,,,,,,,
Batchelor Institute of Indigenous Tertiary Education,0,0,0,0,20,20,144,0,254,398,254,0,672
Charles Darwin University,169,17,27,240,448,901,"3,666",32,18,"3,716",530,5,"5,152"
State Sub-total,169,17,27,240,468,921,"3,810",32,272,"4,114",784,5,"5,824"
Australian Capital Territory,,,,,,,,,,,,,
Australian Defence Force Academy,105,15,27,580,395,"1,122",968,0,0,968,0,223,"2,313"
Australian International Hotel School,0,0,0,0,0,0,0,0,0,0,0,0,0
The Australian National University,"1,509",12,115,"1,253",979,"3,868","7,196",12,68,"7,276",0,163,"11,307"
University of Canberra,176,1,58,828,867,"1,930","6,519",0,4,"6,523",16,24,"8,493"
State Sub-total,"1,790",28,200,"2,661","2,241","6,920","14,683",12,72,"14,767",16,410,"22,113"
Multi-State,,,,,,,,,,,,,
Australian Catholic University,264,9,67,"1,375","1,565","3,280","7,771",87,147,"8,005",0,107,"11,392"
Australian College of Theology Council Incorporated,13,53,21,441,539,"1,067",819,18,578,"1,415",0,0,"2,482"
State Sub-total,277,62,88,"1,816","2,104","4,347","8,590",105,725,"9,420",0,107,"13,874"
,,,,,,,,,,,,,,
TOTAL,"32,853",999,"7,633","74,248","61,496","177,229","528,550","4,765","6,619","539,934","7,245","8,944","733,352"
Total 2005,"32,021",959,"7,922","73,570","58,801","173,273","518,990","2,800","7,191","528,981","5,584","9,844","717,682"
% change on 2005,2.6%,4.2%,-3.6%,0.9%,4.6%,2.3%,1.8%,70.2%,-8.0%,2.1%,29.7%,-9.1%,2.2%
< Back to Contents >,,,,,,,,,,,,,,,
"Table 7: All Students by State, Higher Education Provider, Mode of Attendance, Type of Attendance and Gender, Full Year 2006",,,,,,,,,,,,,,,
State/Provider,Internal,,,,External,,,,Multi-modal,,,,Gender,,
,Full-time,Part-time,Sub-total,,Full-time,Part-time,Sub-total,,Full-time,Part-time,Sub-total,,Males,Females,PERSONS
New South Wales,,,,,,,,,,,,,,,
ACPE Limited,777,63,840,,0,0,0,,0,0,0,,496,344,840
Australian College of Applied Psychology Pty Ltd,125,578,703,,107,499,606,,105,162,267,,281,"1,295","1,576"
"Australian Film, Television and Radio School",95,18,113,,1,0,1,,0,0,0,,65,49,114
Avondale College,"1,019",4,"1,023",,1,194,195,,7,21,28,,520,726,"1,246"
Blue Mountains International Hotel Management School,28,8,36,,0,0,0,,0,9,9,,21,24,45
Campion Institute Limited,16,0,16,,0,0,0,,0,0,0,,9,7,16
Charles Sturt University,"7,371",949,"8,320",,"3,741","18,462","22,203",,"3,217",407,"3,624",,"14,512","19,635","34,147"
East Coast Gestalt Training,56,4,60,,0,0,0,,0,0,0,,21,39,60
Jansen Newman Institute,49,5,54,,0,0,0,,0,0,0,,8,46,54
KvB Visual Concepts Pty Ltd,21,91,112,,0,0,0,,0,0,0,,39,73,112
Macquarie University,"16,446","9,184","25,630",,468,"2,726","3,194",,"1,615",687,"2,302",,"13,652","17,474","31,126"
Moore Theological College,256,56,312,,0,0,0,,0,0,0,,242,70,312
National Institute of Dramatic Art,170,0,170,,0,0,0,,0,0,0,,75,95,170
Raffles KVB Institute Pty Ltd,8,87,95,,0,0,0,,0,0,0,,33,62,95
Southern Cross University,"5,295","1,872","7,167",,838,"3,991","4,829",,"1,530",357,"1,887",,"5,717","8,166","13,883"
Sydney College of Divinity,528,533,"1,061",,35,316,351,,110,266,376,,986,802,"1,788"
Sydney Institute of Business and Technology Pty Ltd,420,152,572,,0,0,0,,0,0,0,,360,212,572
Tabor College (NSW) Incorporated,12,6,18,,0,10,10,,9,14,23,,19,32,51
The Australian Institute of Music Limited,243,128,371,,0,1,1,,0,0,0,,236,136,372
The College of Law Pty Ltd.,74,0,74,,0,0,0,,769,0,769,,304,539,843
The University of New England,"2,647",280,"2,927",,"2,758","10,414","13,172",,"1,294",89,"1,383",,"6,737","10,745","17,482"
The University of New South Wales,"24,324","11,792","36,116",,83,"2,548","2,631",,2,27,29,,"20,277","18,499","38,776"
The University of Newcastle,"15,955","5,910","21,865",,443,"2,507","2,950",,569,186,755,,"11,366","14,204","25,570"
The University of Sydney,"33,497","9,542","43,039",,175,"1,412","1,587",,789,433,"1,222",,"18,902","26,946","45,848"
"University of Technology, Sydney","20,972","9,738","30,710",,241,644,885,,765,352,"1,117",,"16,289","16,423","32,712"
University of Western Sydney,"21,607","8,339","29,946",,210,866,"1,076",,"1,582",331,"1,913",,"14,305","18,630","32,935"
University of Wollongong,"16,445","5,028","21,473",,121,280,401,,1,0,1,,"11,155","10,720","21,875"
Wesley Institute,128,74,202,,17,38,55,,1,2,3,,86,174,260
State Sub-total,"168,584","64,441","233,025",,"9,239","44,908","54,147",,"12,365","3,343","15,708",,"136,713","166,167","302,880"
Victoria,,,,,,,,,,,,,,,
Australian Institute of Public Safety Pty Ltd,156,30,186,,0,0,0,,0,0,0,,44,142,186
Box Hill Institute of Technical and Further Education,174,36,210,,0,0,0,,0,0,0,,159,51,210
Deakin University,"15,209","3,235","18,444",,"1,419","8,777","10,196",,"3,869",693,"4,562",,"13,932","19,270","33,202"
Gordon Institute of TAFE,4,0,4,,0,0,0,,0,0,0,,1,3,4
Harvest Bible College,42,28,70,,7,6,13,,1,1,2,,45,40,85
Holmes Institute,305,54,359,,0,0,0,,0,0,0,,216,143,359
La Trobe University,"19,022","6,171","25,193",,78,"1,708","1,786",,"1,136",202,"1,338",,"11,517","16,800","28,317"
Marcus Oldham College,37,11,48,,0,0,0,,0,0,0,,37,11,48
Melbourne College of Divinity,194,579,773,,1,42,43,,4,13,17,,425,408,833
Melbourne Institute of Business and Technology Pty Ltd,113,21,134,,0,0,0,,0,0,0,,73,61,134
Melbourne Institute of Technology,5,1,6,,0,0,0,,0,0,0,,3,3,6
Monash College Group,94,8,102,,0,0,0,,0,0,0,,49,53,102
Monash University,"35,820","8,428","44,248",,"1,170","6,874","8,044",,"1,811",721,"2,532",,"24,371","30,453","54,824"
Northern Melbourne Institute of TAFE,12,5,17,,0,0,0,,0,0,0,,7,10,17
Oceania Polytechnic Institute of Education Pty Ltd,34,2,36,,0,0,0,,0,0,0,,23,13,36
RMIT University,"27,076","9,715","36,791",,163,988,"1,151",,"3,075",430,"3,505",,"20,427","21,020","41,447"
Swinburne University of Technology,"12,055","5,200","17,255",,3,105,108,,1,26,27,,"10,070","7,320","17,390"
Tabor College - Victoria,67,153,220,,0,4,4,,20,9,29,,85,168,253
The Southern School of Natural Therapies Limited,174,68,242,,0,0,0,,0,0,0,,45,197,242
The University of Melbourne,"32,432","9,828","42,260",,153,737,890,,118,121,239,,"18,920","24,469","43,389"
University of Ballarat,"8,377","1,985","10,362",,14,40,54,,14,0,14,,"6,480","3,950","10,430"
Victoria University,"14,093","5,726","19,819",,23,264,287,,27,47,74,,"9,400","10,780","20,180"
State Sub-total,"165,495","51,284","216,779",,"3,031","19,545","22,576",,"10,076","2,263","12,339",,"116,329","135,365","251,694"
Queensland,,,,,,,,,,,,,,,
Australian College of Natural Medicine,558,370,928,,12,132,144,,157,169,326,,246,"1,152","1,398"
Bond University,"3,847",788,"4,635",,0,0,0,,0,0,0,,"2,406","2,229","4,635"
Central Queensland University,"13,975","2,650","16,625",,"1,732","5,012","6,744",,"1,539",397,"1,936",,"14,185","11,120","25,305"
Christian Heritage College,284,181,465,,9,173,182,,79,83,162,,261,548,809
Griffith University,"25,284","7,929","33,213",,80,305,385,,"1,003",734,"1,737",,"14,582","20,753","35,335"
James Cook University,"9,657","2,972","12,629",,94,818,912,,"1,156",681,"1,837",,"5,702","9,676","15,378"
Queensland Institute of Business and Technology Pty Ltd,70,14,84,,0,0,0,,0,0,0,,42,42,84
Queensland University of Technology,"23,909","8,782","32,691",,559,"2,820","3,379",,"1,953",501,"2,454",,"17,142","21,382","38,524"
Shafston Institute of Technology,20,0,20,,0,0,0,,0,0,0,,10,10,20
The University of Queensland,"28,388","6,110","34,498",,173,"1,619","1,792",,979,249,"1,228",,"16,859","20,659","37,518"
University of Southern Queensland,"3,129",760,"3,889",,"4,709","14,195","18,904",,"2,026",424,"2,450",,"12,577","12,666","25,243"
University of the Sunshine Coast,"3,731","1,247","4,978",,116,689,805,,1,3,4,,"2,441","3,346","5,787"
State Sub-total,"112,852","31,803","144,655",,"7,484","25,763","33,247",,"8,893","3,241","12,134",,"86,453","103,583","190,036"
Western Australia,,,,,,,,,,,,,,,
Curtin International College,13,0,13,,0,0,0,,0,0,0,,9,4,13
Curtin University of Technology,"25,589","8,917","34,506",,439,"2,899","3,338",,910,705,"1,615",,"18,626","20,833","39,459"
Edith Cowan University,"12,907","5,375","18,282",,501,"2,960","3,461",,"1,492",754,"2,246",,"9,600","14,389","23,989"
Murdoch University,"7,520","2,670","10,190",,415,"1,732","2,147",,"1,158",422,"1,580",,"5,653","8,264","13,917"
Perth Bible College,24,28,52,,0,2,2,,0,1,1,,34,21,55
Perth Institute of Business and Technology Pty Ltd,43,11,54,,0,0,0,,0,0,0,,30,24,54
The University of Notre Dame Australia,"3,926","1,649","5,575",,4,29,33,,16,12,28,,"1,812","3,824","5,636"
The University of Western Australia,"13,977","3,720","17,697",,1,32,33,,28,3,31,,"8,798","8,963","17,761"
State Sub-total,"63,999","22,370","86,369",,"1,360","7,654","9,014",,"3,604","1,897","5,501",,"44,562","56,322","100,884"
South Australia,,,,,,,,,,,,,,,
Adelaide College of Divinity,5,27,32,,1,11,12,,1,0,1,,19,26,45
Australian Lutheran College,44,64,108,,1,204,205,,0,24,24,,119,218,337
Carnegie Mellon University,14,49,63,,0,0,0,,0,0,0,,39,24,63
International College of Hotel Management Inc,0,0,0,,1,0,1,,0,0,0,,0,1,1
South Australian Institute of Business and Technology Pty Ltd,82,25,107,,0,0,0,,0,0,0,,67,40,107
Tabor College Adelaide,354,188,542,,48,132,180,,5,3,8,,268,462,730
The Flinders University of South Australia,"9,337","4,288","13,625",,126,"1,291","1,417",,242,134,376,,"5,697","9,721","15,418"
The University of Adelaide,"14,456","4,499","18,955",,57,262,319,,10,6,16,,"10,086","9,204","19,290"
University of South Australia,"17,272","7,180","24,452",,840,"3,298","4,138",,"3,531","1,289","4,820",,"14,100","19,310","33,410"
State Sub-total,"41,564","16,320","57,884",,"1,074","5,198","6,272",,"3,789","1,456","5,245",,"30,395","39,006","69,401"
Tasmania,,,,,,,,,,,,,,,
Australian Maritime College,494,309,803,,14,415,429,,2,14,16,,"1,129",119,"1,248"
Tabor College Tasmania,17,20,37,,0,0,0,,2,1,3,,14,26,40
University of Tasmania,"11,377","4,003","15,380",,224,565,789,,"1,043",259,"1,302",,"7,681","9,790","17,471"
State Sub-total,"11,888","4,332","16,220",,238,980,"1,218",,"1,047",274,"1,321",,"8,824","9,935","18,759"
Northern Territory,,,,,,,,,,,,,,,
Batchelor Institute of Indigenous Tertiary Education,0,0,0,,0,0,0,,448,224,672,,247,425,672
Charles Darwin University,"1,230",947,"2,177",,664,"1,485","2,149",,766,304,"1,070",,"1,808","3,588","5,396"
State Sub-total,"1,230",947,"2,177",,664,"1,485","2,149",,"1,214",528,"1,742",,"2,055","4,013","6,068"
Australian Capital Territory,,,,,,,,,,,,,,,
Australian Defence Force Academy,"1,072",954,"2,026",,15,442,457,,0,0,0,,"2,042",441,"2,483"
Australian International Hotel School,0,0,0,,0,0,0,,0,0,0,,0,0,0
The Australian National University,"10,486","3,995","14,481",,11,49,60,,3,9,12,,"7,187","7,366","14,553"
University of Canberra,13,8,21,,0,0,0,,"7,052","3,785","10,837",,"4,681","6,177","10,858"
State Sub-total,"11,571","4,957","16,528",,26,491,517,,"7,055","3,794","10,849",,"13,910","13,984","27,894"
Multi-State,,,,,,,,,,,,,,,
Australian Catholic University,"7,653","3,322","10,975",,"1,542","1,387","2,929",,27,36,63,,"4,145","9,822","13,967"
Australian College of Theology Council Incorporated,822,"1,348","2,170",,49,295,344,,19,30,49,,"1,555","1,008","2,563"
State Sub-total,"8,475","4,670","13,145",,"1,591","1,682","3,273",,46,66,112,,"5,700","10,830","16,530"
,,,,,,,,,,,,,,,,
TOTAL,"585,658","201,124","786,782",,"24,707","107,706","132,413",,"48,089","16,862","64,951",,"444,941","539,205","984,146"
Total 2005,"566,135","195,835","761,970",,"24,903","108,794","133,697",,"45,834","15,676","61,510",,"435,849","521,328","957,177"
% change on 2005,3.4%,2.7%,3.3%,,-0.8%,-1.0%,-1.0%,,4.9%,7.6%,5.6%,,2.1%,3.4%,2.8%
< Back to Contents >,,,,,,,,,,,,,,
"Table 8: All Students by State, Higher Education Provider and Broad Field of Education, Full Year 2006",,,,,,,,,,,,,,
State/Provider,Natural and Physical Sciences,Information Technology ,Engineering and Related Technologies,Architecture and Building ,"Agriculture, Environmental and Related Studies",Health ,Education ,Management and Commerce ,Society and Culture ,Creative Arts ,"Food, Hospitality and Personal Services",Mixed Field Programmes ,Non-award courses ,TOTAL (a) 
New South Wales,,,,,,,,,,,,,,
ACPE Limited,0,0,0,0,0,0,706,62,72,0,0,0,0,840
Australian College of Applied Psychology Pty Ltd,0,0,0,0,0,0,0,0,"1,576",0,0,0,0,"1,576"
"Australian Film, Television and Radio School",0,0,0,0,0,0,0,0,0,114,0,0,0,114
Avondale College,49,2,0,0,0,187,528,115,153,316,0,0,38,"1,246"
Blue Mountains International Hotel Management School,0,0,0,0,0,0,0,45,0,0,0,0,0,45
Campion Institute Limited,0,0,0,0,0,0,0,0,16,0,0,0,0,16
Charles Sturt University,"1,143","2,030",7,0,"1,398","5,111","5,883","9,397","7,670","1,420",0,0,897,"34,147"
East Coast Gestalt Training,0,0,0,0,0,60,0,0,0,0,0,0,0,60
Jansen Newman Institute,0,0,0,0,0,0,0,0,54,0,0,0,0,54
KvB Visual Concepts Pty Ltd,0,0,0,0,0,0,0,0,0,112,0,0,0,112
Macquarie University,"1,538","1,415",67,33,395,930,"3,027","13,412","8,290","1,494",0,0,"1,982","31,126"
Moore Theological College,0,0,0,0,0,0,0,0,312,0,0,0,0,312
National Institute of Dramatic Art,0,0,0,0,0,0,0,0,0,170,0,0,0,170
Raffles KVB Institute Pty Ltd,0,0,0,0,0,0,0,0,0,95,0,0,0,95
Southern Cross University,4,513,0,0,712,"1,539","1,525","6,123","2,753",861,0,136,187,"13,883"
Sydney College of Divinity,0,0,0,0,0,0,0,0,"1,762",0,0,0,26,"1,788"
Sydney Institute of Business and Technology Pty Ltd,0,42,0,0,0,0,0,457,0,73,0,0,0,572
Tabor College (NSW) Incorporated,0,0,0,0,0,0,0,0,51,0,0,0,0,51
The Australian Institute of Music Limited,0,0,0,0,0,0,0,0,0,372,0,0,0,372
The College of Law Pty Ltd.,0,0,0,0,0,0,0,0,843,0,0,0,0,843
The University of New England,"1,024",551,51,569,637,863,"3,829","3,437","7,708",363,0,0,160,"17,482"
The University of New South Wales,"4,209","1,234","7,040","2,269",322,"2,841",896,"9,707","9,478","3,158",0,0,"1,526","38,776"
The University of Newcastle,"1,702","1,106","2,218",710,273,"4,267","4,429","4,424","5,093","1,417",0,0,481,"25,570"
The University of Sydney,"5,448",829,"3,048","1,393",721,"10,445","2,818","6,865","14,404","2,229",0,0,"1,063","45,848"
"University of Technology, Sydney","2,335","2,264","3,529","1,361",0,"2,187","2,179","13,722","4,450","2,927",0,48,421,"32,712"
University of Western Sydney,"1,896","1,475","1,178",568,643,"4,290","2,331","10,310","7,960","2,298",0,0,670,"32,935"
University of Wollongong,"1,609","2,546","1,515",0,157,"1,513","1,905","7,967","3,757","1,220",0,0,684,"21,875"
Wesley Institute,0,0,0,0,0,0,57,0,67,136,0,0,0,260
State Sub-total,"20,957","14,007","18,653","6,903","5,258","34,233","30,113","86,043","76,469","18,775",0,184,"8,135","302,880"
Victoria,,,,,,,,,,,,,,
Australian Institute of Public Safety Pty Ltd,0,0,0,0,0,0,0,0,186,0,0,0,0,186
Box Hill Institute of Technical and Further Education,22,46,0,0,0,0,0,12,0,130,0,0,0,210
Deakin University,"1,667","1,638",961,762,361,"4,200","4,493","11,694","8,142","1,385",0,0,551,"33,202"
Gordon Institute of TAFE,0,0,0,0,0,0,0,0,0,4,0,0,0,4
Harvest Bible College,0,0,0,0,0,0,0,0,85,0,0,0,0,85
Holmes Institute,0,0,0,0,0,0,0,359,0,0,0,0,0,359
La Trobe University,"2,082",999,704,48,329,"5,829","2,418","8,680","7,382",806,0,0,174,"28,317"
Marcus Oldham College,0,0,0,0,48,0,0,0,0,0,0,0,0,48
Melbourne College of Divinity,0,0,0,0,0,0,0,0,833,0,0,0,0,833
Melbourne Institute of Business and Technology Pty Ltd,0,5,0,0,0,0,0,121,0,8,0,0,0,134
Melbourne Institute of Technology,0,2,0,0,0,0,0,4,0,0,0,0,0,6
Monash College Group,0,7,3,0,0,0,0,62,19,11,0,0,0,102
Monash University,"5,998","5,006","4,667",8,258,"5,929","4,029","16,077","13,334","3,311",0,0,"1,009","54,824"
Northern Melbourne Institute of TAFE,0,0,0,0,17,0,0,0,0,0,0,0,0,17
Oceania Polytechnic Institute of Education Pty Ltd,0,0,0,36,0,0,0,0,0,0,0,0,0,36
RMIT University,"2,446","4,155","4,440","2,851",432,"2,935","1,544","16,167","2,775","4,174",51,0,222,"41,447"
