
CONTENTS,
,,
Section 2 - All Students,
,,
,"Table 1: All Students by Age Group and Broad Level of Course, Full Year 2006"
,"Table 2: All Domestic Students by Age Group and Broad Level of Course, Full Year 2006"
,"Table 3: All Students by Level of Course, Broad Field of Education and Gender, Full Year 2006"
,"Table 4: All Students by State of Permanent Home Residence and State of Higher Education Provider of Study, Full Year 2006"
,"Table 5: All Students by State, Higher Education Provider and Broad Level of Course, Full Year 2006"
,"Table 6: All Domestic Students by State, Higher Education Provider and Broad Level of Course, Full Year 2006"
,"Table 7: All Students by State, Higher Education Provider, Mode of Attendance, Type of Attendance and Gender, Full Year 2006"
,"Table 8: All Students by State, Higher Education Provider and Broad Field of Education, Full Year 2006"
,"Table 9: All Domestic Students by State, Higher Education Provider and Broad Field of Education, Full Year 2006"
,"Table 10: All Students by State, Higher Education Provider, Citizenship and Residence Status, Full Year 2006"
,,
,,
< Back to Contents >,,,,,,,,,,,,,
"Table 1: All Students by Age Group and Broad Level of Course, Full Year 2006",,,,,,,,,,,,,
Age Group,Doctorate by Research,Doctorate by Coursework,Master's by Research,Master's by Coursework,Other Postgraduate,Sub-total Postgraduate,Bachelor,Associate Degree,Other Undergraduate,Sub-total Undergraduate,Enabling Courses,Non-award Courses,TOTAL
27,"1,495",31,280,"3,440","2,381","7,627","8,850",173,145,"9,168",210,246,"17,251"
28,"1,366",39,263,"3,316","2,357","7,341","7,997",169,158,"8,324",183,282,"16,130"
29,"1,126",41,252,"3,389","2,244","7,052","7,245",123,148,"7,516",158,252,"14,978"
Sub-total 25 to 29,"7,684",202,"1,399","17,192","12,188","38,665","47,754",917,807,"49,478",974,"1,358","90,475"
,,,,,,,,,,,,,,
30 to 39,"8,482",249,"2,282","25,150","19,758","55,921","49,575","1,180","1,330","52,085","1,364","2,188","111,558"
40 to 49,"7,006",235,"1,763","14,563","13,281","36,848","24,762",485,920,"26,167",715,"1,258","64,988"
50 to 59,"4,239",169,994,"5,188","4,927","15,517","7,588",152,414,"8,154",204,445,"24,320"
60 and over,"1,069",33,290,660,641,"2,693","1,340",24,158,"1,522",50,97,"4,362"
Sub-total 30 and over,"20,796",686,"5,329","45,561","38,607","110,979","83,265","1,841","2,822","87,928","2,333","3,988","205,228"
,,,,,,,,,,,,,,
TOTAL,"32,853",999,"7,633","74,248","61,496","177,229","528,550","4,765","6,619","539,934","7,245","8,944","733,352"
Total 2005,"32,021",959,"7,922","73,570","58,801","173,273","518,990","2,800","7,191","528,981","5,584","9,844","717,682"
% change on 2005,2.6%,4.2%,-3.6%,0.9%,4.6%,2.3%,1.8%,70.2%,-8.0%,2.1%,29.7%,-9.1%,2.2%
< Back to Contents >,,,,,,,,,,,,,,
"Table 3: All Students by Level of Course, Broad Field of Education and Gender, Full Year 2006",,,,,,,,,,,,,,
Level of Course,Natural and Physical Sciences,Information Technology ,Engineering and Related Technologies,Architecture and Building ,"Agriculture, Environmental and Related Studies",Health ,Education ,Management and Commerce ,Society and Culture ,Creative Arts ,"Food, Hospitality and Personal Services",Mixed Field Programmes ,Non-award courses ,TOTAL (a) 
Males,,,,,,,,,,,,,,
Doctorate by Research,"4,358","1,172","3,315",294,974,"1,857","1,251","2,081","4,210",675,0,0,0,"20,186"
Doctorate by Coursework,10,33,0,0,2,51,52,588,216,14,0,0,0,966
Master's by Research,509,197,973,146,214,407,321,220,882,527,0,0,0,"4,396"
Master's by Coursework,"1,271","11,154","5,546",999,740,"3,298","3,813","41,590","9,160","1,245",0,0,0,"78,661"
Postgrad. Qual/Prelim.,14,2,7,4,1,34,0,16,53,2,0,0,0,133
Grad.(Post) Dip. - new area,331,770,643,347,194,727,"3,194","2,979","2,582",395,0,0,0,"12,142"
Grad.(Post) Dip. - ext area,241,324,334,119,82,693,413,"1,625","1,285",166,0,0,0,"5,282"
Graduate Certificate,398,503,"1,092",193,205,924,"1,235","5,310","1,354",182,0,0,0,"11,396"
Sub-total Postgraduate,"7,132","14,155","11,910","2,102","2,412","7,991","10,279","54,409","19,742","3,206",0,0,0,"133,162"
Bachelor's Graduate Entry,36,6,1,734,0,"1,646","1,339",139,"1,588",0,0,0,0,"5,484"
Bachelor's Honours,"1,551",334,139,43,118,125,48,402,"1,520",384,0,0,0,"4,617"
Bachelor's Pass,"27,069","30,105","42,344","9,394","5,108","22,352","14,483","89,425","49,792","18,666",20,0,0,"281,201"
Associate Degree,50,79,650,42,84,26,38,113,"2,001",54,0,0,0,"3,137"
Advanced Diploma (AQF),9,89,222,65,212,85,43,316,346,47,0,0,0,"1,434"
Diploma (AQF),27,107,167,2,189,29,18,907,487,168,6,0,0,"2,107"
Other undergraduate award courses,33,52,429,0,1,10,4,303,207,12,0,0,0,"1,051"
Sub-total Undergraduate,"28,775","30,772","43,952","10,280","5,712","24,273","15,973","91,605","55,941","19,331",26,0,0,"299,031"
Enabling courses,56,0,93,0,68,9,499,0,"1,016",433,0,614,0,"2,788"
Non-award courses,0,0,0,0,0,0,0,2,0,0,0,0,"9,958","9,960"
TOTAL,"35,963","44,927","55,955","12,382","8,192","32,273","26,751","146,016","76,699","22,970",26,614,"9,958","444,941"
Females,,,,,,,,,,,,,,
Doctorate by Research,"4,046",447,884,219,841,"3,329","2,239","1,378","6,004",938,0,0,0,"20,325"
Doctorate by Coursework,9,8,0,0,0,67,69,190,485,12,0,0,0,840
Master's by Research,420,63,252,96,159,701,677,208,"1,125",859,0,0,0,"4,560"
Master's by Coursework,"1,020","2,406","1,111",809,900,"7,860","9,101","30,086","14,312","2,538",0,0,0,"70,044"
Postgrad. Qual/Prelim.,7,0,6,1,1,31,6,10,74,1,0,0,0,137
Grad.(Post) Dip. - new area,313,233,155,242,204,"1,816","7,008","2,491","5,230",814,1,0,0,"18,465"
Grad.(Post) Dip. - ext area,288,132,72,100,88,"2,809",868,944,"2,868",364,0,0,0,"8,533"
Graduate Certificate,386,162,235,92,191,"2,949","3,446","4,075","2,357",490,0,0,0,"14,383"
Sub-total Postgraduate,"6,489","3,451","2,715","1,559","2,384","19,562","23,414","39,382","32,455","6,016",1,0,0,"137,287"
Bachelor's Graduate Entry,19,0,0,574,0,"1,970","3,981",161,"2,129",0,1,0,0,"8,828"
Bachelor's Honours,"1,839",65,17,42,176,472,140,392,"3,170",688,0,0,0,"6,977"
Bachelor's Pass,"30,997","7,162","7,177","6,415","5,149","64,256","44,899","96,788","97,096","33,032",57,0,0,"362,710"
Associate Degree,32,18,70,6,35,137,32,84,"1,324",47,0,0,0,"1,785"
Advanced Diploma (AQF),5,12,13,41,121,75,172,274,670,59,0,0,0,"1,442"
Diploma (AQF),29,23,116,1,196,88,96,716,722,189,15,0,0,"2,191"
Other undergraduate award courses,52,9,17,0,3,71,13,232,280,32,0,0,0,709
Sub-total Undergraduate,"32,973","7,289","7,410","7,079","5,680","67,069","49,333","98,647","105,391","34,047",73,0,0,"384,642"
Enabling courses,115,0,97,0,123,16,650,0,"1,648",536,0,"1,336",0,"4,521"
Non-award courses,0,0,0,0,0,0,0,1,0,0,0,0,"12,754","12,755"
TOTAL,"39,577","10,740","10,222","8,638","8,187","86,647","73,397","138,030","139,494","40,599",74,"1,336","12,754","539,205"

,,,,,,,,,,,,,,,
"Table 3: All Students by Level of Course, Broad Field of Education and Gender, Full Year 2006",,,,,,,,,,,,,,
Level of Course,Natural and Physical Sciences,Information Technology ,Engineering and Related Technologies,Architecture and Building ,"Agriculture, Environmental and Related Studies",Health ,Education ,Management and Commerce ,Society and Culture ,Creative Arts ,"Food, Hospitality and Personal Services",Mixed Field Programmes ,Non-award courses ,TOTAL (a) 
PERSONS,,,,,,,,,,,,,,
Doctorate by Research,"8,404","1,619","4,199",513,"1,815","5,186","3,490","3,459","10,214","1,613",0,0,0,"40,511"
Doctorate by Coursework,19,41,0,0,2,118,121,778,701,26,0,0,0,"1,806"
Master's by Research,929,260,"1,225",242,373,"1,108",998,428,"2,007","1,386",0,0,0,"8,956"
Master's by Coursework,"2,291","13,560","6,657","1,808","1,640","11,158","12,914","71,676","23,472","3,783",0,0,0,"148,705"
Postgrad. Qual/Prelim.,21,2,13,5,2,65,6,26,127,3,0,0,0,270
Grad.(Post) Dip. - new area,644,"1,003",798,589,398,"2,543","10,202","5,470","7,812","1,209",1,0,0,"30,607"
Grad.(Post) Dip. - ext area,529,456,406,219,170,"3,502","1,281","2,569","4,153",530,0,0,0,"13,815"
Graduate Certificate,784,665,"1,327",285,396,"3,873","4,681","9,385","3,711",672,0,0,0,"25,779"
Sub-total Postgraduate,"13,621","17,606","14,625","3,661","4,796","27,553","33,693","93,791","52,197","9,222",1,0,0,"270,449"
Bachelor's Graduate Entry,55,6,1,"1,308",0,"3,616","5,320",300,"3,717",0,1,0,0,"14,312"
Bachelor's Honours,"3,390",399,156,85,294,597,188,794,"4,690","1,072",0,0,0,"11,594"
Bachelor's Pass,"58,066","37,267","49,521","15,809","10,257","86,608","59,382","186,213","146,888","51,698",77,0,0,"643,911"
Associate Degree,82,97,720,48,119,163,70,197,"3,325",101,0,0,0,"4,922"
Advanced Diploma (AQF),14,101,235,106,333,160,215,590,"1,016",106,0,0,0,"2,876"
Diploma (AQF),56,130,283,3,385,117,114,"1,623","1,209",357,21,0,0,"4,298"
Other undergraduate award courses,85,61,446,0,4,81,17,535,487,44,0,0,0,"1,760"
Sub-total Undergraduate,"61,748","38,061","51,362","17,359","11,392","91,342","65,306","190,252","161,332","53,378",99,0,0,"683,673"
Enabling courses,171,0,190,0,191,25,"1,149",0,"2,664",969,0,"1,950",0,"7,309"
Non-award courses,0,0,0,0,0,0,0,3,0,0,0,0,"22,712","22,715"
TOTAL,"75,540","55,667","66,177","21,020","16,379","118,920","100,148","284,046","216,193","63,569",100,"1,950","22,712","984,146"
Total 2005,"74,573","64,399","65,364","19,869","17,248","109,201","95,319","274,040","208,276","61,178",90,"1,861","22,433","957,177"
% change on 2005,1.3%,-13.6%,1.2%,5.8%,-5.0%,8.9%,5.1%,3.7%,3.8%,3.9%,11.1%,4.8%,1.2%,2.8%

"(a) The data takes into account the coding of Combined Courses to two fields of education. As a consequence, counting both fields of education for Combined Courses means that the totals may be less than the sum of all broad fields of education.",,,,,,,,,,,,,,
< Back to Contents >,,,,,,,,,,
"Table 4: All Students by State of Permanent Home Residence and State of Higher Education Provider of Study, Full Year 2006",,,,,,,,,,
State of Permanent Home Residence,State of Provider of Study,,,,,,,,,TOTAL
,New South Wales,Victoria,Queensland,Western Australia,South Australia,Tasmania,Northern Territory,Australian Capital Territory,Multi-State,
New South Wales,"209,319","5,357","6,015","1,329",981,421,240,"4,860","5,557","234,079"
Victoria,"7,259","159,824","2,656",701,"1,380",554,361,879,"4,434","178,048"
Queensland,"7,219","2,374","126,447",712,644,293,456,551,"2,606","141,302"
Western Australia,"1,610","1,191",879,"68,850",273,99,351,189,182,"73,624"
South Australia,"1,655","1,432",593,357,"46,353",86,344,217,217,"51,254"
Tasmania,832,964,332,200,183,"12,865",23,124,100,"15,623"
Northern Territory,563,405,578,168,396,33,"3,981",108,34,"6,266"
Australian Capital Territory,"3,150",887,600,162,182,30,34,"14,803",545,"20,393"
Total Australia,"231,607","172,434","138,100","72,479","50,392","14,381","5,790","21,731","13,675","720,589"
,,,,,,,,,,,
Outside Australia,"71,273","79,260","51,936","28,405","19,009","4,378",278,"6,163","2,855","263,557"
,,,,,,,,,,,
TOTAL,"302,880","251,694","190,036","100,884","69,401","18,759","6,068","27,894","16,530","984,146"
Total 2005,"297,191","242,951","185,922","97,180","66,486","18,020","5,917","27,911","15,599","957,177"
% change on 2005,1.9%,3.6%,2.2%,3.8%,4.4%,4.1%,2.6%,-0.1%,6.0%,2.8%
< Back to Contents >,,,,,,,,,,,,,
"Table 5: All Students by State, Higher Education Provider and Broad Level of Course, Full Year 2006",,,,,,,,,,,,,
State/Provider,Doctorate by Research,Doctorate by Coursework,Master's by Research,Master's by Coursework,Other Postgraduate,Sub-total Postgraduate,Bachelor,Associate Degree,Other Undergraduate,Sub-total Undergraduate,Enabling Courses,Non-award Courses,TOTAL
New South Wales,,,,,,,,,,,,,
ACPE Limited,0,0,0,0,0,0,840,0,0,840,0,0,840
Australian College of Applied Psychology Pty Ltd,0,0,0,0,717,717,854,4,1,859,0,0,"1,576"
"Australian Film, Television and Radio School",0,0,0,41,73,114,0,0,0,0,0,0,114
Avondale College,0,0,1,143,33,177,937,0,94,"1,031",0,38,"1,246"
Blue Mountains International Hotel Management School,0,0,0,0,2,2,34,0,9,43,0,0,45
Campion Institute Limited,0,0,0,0,0,0,16,0,0,16,0,0,16
Charles Sturt University,409,80,39,"4,996","2,951","8,475","21,475","2,504",171,"24,150",625,897,"34,147"
East Coast Gestalt Training,0,0,0,0,60,60,0,0,0,0,0,0,60
Jansen Newman Institute,0,0,0,0,35,35,19,0,0,19,0,0,54
KvB Visual Concepts Pty Ltd,0,0,0,0,0,0,112,0,0,112,0,0,112
Macquarie University,"1,242",0,215,"7,282","2,264","11,003","17,930",0,211,"18,141",0,"1,982","31,126"
Moore Theological College,0,0,1,43,0,44,268,0,0,268,0,0,312
National Institute of Dramatic Art,0,0,0,0,10,10,159,0,1,160,0,0,170
Raffles KVB Institute Pty Ltd,0,0,0,0,0,0,95,0,0,95,0,0,95
Southern Cross University,462,0,59,"1,546",612,"2,679","10,365",509,0,"10,874",143,187,"13,883"
Sydney College of Divinity,12,8,7,616,51,694,988,0,80,"1,068",0,26,"1,788"
Sydney Institute of Business and Technology Pty Ltd,0,0,0,0,0,0,0,0,572,572,0,0,572
Tabor College (NSW) Incorporated,0,0,0,0,5,5,46,0,0,46,0,0,51
The Australian Institute of Music Limited,0,0,0,0,12,12,323,0,37,360,0,0,372
The College of Law Pty Ltd.,0,0,0,0,843,843,0,0,0,0,0,0,843
The University of New England,586,10,201,"1,996","2,307","5,100","11,754",0,416,"12,170",52,160,"17,482"
The University of New South Wales,"2,446",0,576,"7,530","3,156","13,708","23,520",0,22,"23,542",0,"1,526","38,776"
The University of Newcastle,787,388,310,"3,022","1,351","5,858","17,406",0,0,"17,406","1,825",481,"25,570"
The University of Sydney,"3,093",37,751,"8,534","2,131","14,546","30,027",0,197,"30,224",15,"1,063","45,848"
"University of Technology, Sydney","1,051",0,278,"7,423","2,590","11,342","20,898",0,3,"20,901",48,421,"32,712"
University of Western Sydney,650,1,94,"3,220","1,313","5,278","26,960",0,9,"26,969",18,670,"32,935"
University of Wollongong,924,6,253,"4,695",929,"6,807","13,711",0,381,"14,092",292,684,"21,875"
Wesley Institute,0,0,0,52,72,124,136,0,0,136,0,0,260
State Sub-total,"11,662",530,"2,785","51,139","21,517","87,633","198,873","3,017","2,204","204,094","3,018","8,135","302,880"
Victoria,,,,,,,,,,,,,
Australian Institute of Public Safety Pty Ltd,0,0,0,0,0,0,0,0,186,186,0,0,186
Box Hill Institute of Technical and Further Education,0,0,0,0,0,0,198,12,0,210,0,0,210
Deakin University,844,5,65,"5,094","2,708","8,716","23,543",75,317,"23,935",0,551,"33,202"
Gordon Institute of TAFE,0,0,0,0,0,0,4,0,0,4,0,0,4
Harvest Bible College,0,0,0,5,0,5,80,0,0,80,0,0,85
Holmes Institute,0,0,0,0,0,0,359,0,0,359,0,0,359
La Trobe University,"1,102",10,250,"3,968","2,750","8,080","20,041",0,3,"20,044",19,174,"28,317"
Marcus Oldham College,0,0,0,0,0,0,44,0,4,48,0,0,48
Melbourne College of Divinity,66,0,98,170,256,590,227,0,16,243,0,0,833
Melbourne Institute of Business and Technology Pty Ltd,0,0,0,0,0,0,0,0,134,134,0,0,134
Melbourne Institute of Technology,0,0,0,0,0,0,0,0,6,6,0,0,6
Monash College Group,0,0,0,0,0,0,0,0,102,102,0,0,102
Monash University,"2,549",0,805,"8,366","3,903","15,623","37,789",41,362,"38,192",0,"1,009","54,824"
