Australian Bureau of Statistics

"2011 Census - Counting Dwellings, Place of Enumeration"
"POA by DWTD Dwelling Type"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"

"Counting","POA","DWTD Dwelling Type","Count",
"Dwellings, Location on Census Night","2050, NSW","Occupied private dwellings",3542
"Dwellings, Location on Census Night","2050, NSW","Total",3542
"Dwellings, Location on Census Night","2052, NSW","Occupied private dwellings",43
"Dwellings, Location on Census Night","2052, NSW","Total",43
"Dwellings, Location on Census Night","2060, NSW","Occupied private dwellings",6308
"Dwellings, Location on Census Night","2060, NSW","Total",6308
"Dwellings, Location on Census Night","2061, NSW","Occupied private dwellings",3178
"Dwellings, Location on Census Night","2061, NSW","Total",3178
"Dwellings, Location on Census Night","2062, NSW","Occupied private dwellings",3191
"Dwellings, Location on Census Night","2062, NSW","Total",3191
"Dwellings, Location on Census Night","2063, NSW","Occupied private dwellings",2060
"Dwellings, Location on Census Night","2063, NSW","Total",2060
"Dwellings, Location on Census Night","2064, NSW","Occupied private dwellings",3654
"Dwellings, Location on Census Night","2064, NSW","Total",3654
"Dwellings, Location on Census Night","2065, NSW","Occupied private dwellings",12612
"Dwellings, Location on Census Night","2065, NSW","Total",12612
"Dwellings, Location on Census Night","2066, NSW","Occupied private dwellings",10723
"Dwellings, Location on Census Night","2066, NSW","Total",10723
"Dwellings, Location on Census Night","2067, NSW","Occupied private dwellings",8906
"Dwellings, Location on Census Night","2067, NSW","Total",8906
"Dwellings, Location on Census Night","2068, NSW","Occupied private dwellings",5642
"Dwellings, Location on Census Night","2068, NSW","Total",5642
"Dwellings, Location on Census Night","2069, NSW","Occupied private dwellings",4471
"Dwellings, Location on Census Night","2069, NSW","Total",4471
"Dwellings, Location on Census Night","2070, NSW","Occupied private dwellings",4158
"Dwellings, Location on Census Night","2070, NSW","Total",4158
"Dwellings, Location on Census Night","2071, NSW","Occupied private dwellings",4158
"Dwellings, Location on Census Night","2071, NSW","Total",4158
"Dwellings, Location on Census Night","2072, NSW","Occupied private dwellings",2280
"Dwellings, Location on Census Night","2072, NSW","Total",2280
"Dwellings, Location on Census Night","2073, NSW","Occupied private dwellings",5166
"Dwellings, Location on Census Night","2073, NSW","Total",5166
"Dwellings, Location on Census Night","2074, NSW","Occupied private dwellings",7269
"Dwellings, Location on Census Night","2074, NSW","Total",7269
"Dwellings, Location on Census Night","2075, NSW","Occupied private dwellings",6354
"Dwellings, Location on Census Night","2075, NSW","Total",6354
"Dwellings, Location on Census Night","2076, NSW","Occupied private dwellings",7847
"Dwellings, Location on Census Night","2076, NSW","Total",7847
"Dwellings, Location on Census Night","2077, NSW","Occupied private dwellings",13526
"Dwellings, Location on Census Night","2077, NSW","Total",13526
