POA,Occupied private dwellings
"4077, Qld",8786
"4078, Qld",7805
"4101, Qld",8548
"4102, Qld",2599
"4103, Qld",5573
"4104, Qld",2313
"4105, Qld",5385
"4106, Qld",494
"4107, Qld",2206
"4108, Qld",1833
"4109, Qld",12275
"4110, Qld",3396
"4111, Qld",370
"4112, Qld",2405
"4113, Qld",9526
"4114, Qld",11563
"4115, Qld",5871
"4116, Qld",7362
"4117, Qld",364
"4118, Qld",9500
"4119, Qld",1829
"4120, Qld",3895
"4121, Qld",8946
"4122, Qld",15415
"4123, Qld",5944
"4124, Qld",5766
"4125, Qld",2427
"4127, Qld",7950
"4128, Qld",5423
"4129, Qld",2073
"4130, Qld",2668
"4131, Qld",3117
"4132, Qld",6969
"4133, Qld",5115
"4151, Qld",6539
"4152, Qld",15764
"4153, Qld",1564
"4154, Qld",2913
"4155, Qld",332
"4156, Qld",901
"4157, Qld",6827
"4158, Qld",1507
"4159, Qld",4835
"4160, Qld",6144
"4161, Qld",5822
"4163, Qld",5910
"4164, Qld",4183
"4165, Qld",11424
"4169, Qld",5926
"4170, Qld",9009
"4171, Qld",5747
"4172, Qld",1460
"4173, Qld",3276
"4174, Qld",959
"4178, Qld",9338
"4179, Qld",6869
"4183, Qld",978
"4184, Qld",3001
"4205, Qld",1829
"4207, Qld",17082
"4208, Qld",5233
"4209, Qld",10976
"4210, Qld",5577
"4211, Qld",20253
"4212, Qld",9172
"4213, Qld",9339
"4214, Qld",12714
"4215, Qld",20331
"4216, Qld",15124
"4217, Qld",16845
"4218, Qld",13281
"4219, Qld",295
"4220, Qld",12447
"4221, Qld",10735
"4223, Qld",5564
"4224, Qld",2316
"4225, Qld",3796
"4226, Qld",10695
"4227, Qld",6699
"4228, Qld",1619
"4229, Qld",688
"4230, Qld",744
"4270, Qld",1144
"4271, Qld",1152
"4272, Qld",1730
"4275, Qld",1049
"4280, Qld",4646
"4285, Qld",6488
"4287, Qld",240
"4300, Qld",15047
"4301, Qld",7608
"4303, Qld",1388
"4304, Qld",6021
"4305, Qld",21433
"4306, Qld",10399
"4307, Qld",391
"4309, Qld",895
"4310, Qld",2390
"4311, Qld",3380
"4312, Qld",1267
"4313, Qld",727
"4340, Qld",2164
"4341, Qld",4724
"4342, Qld",758
"4343, Qld",3881
"4344, Qld",847
"4345, Qld",3
"4346, Qld",228
"4347, Qld",399
"4350, Qld",39887
"4352, Qld",8273
"4353, Qld",133
"4354, Qld",397
"4355, Qld",1111
"4356, Qld",1778
"4357, Qld",975
"4358, Qld",696
"4359, Qld",424
"4360, Qld",186
"4361, Qld",865
"4362, Qld",1054
"4363, Qld",191
"4364, Qld",100
"4365, Qld",169
"4370, Qld",6715
"4371, Qld",295
"4372, Qld",74
"4373, Qld",467
"4374, Qld",155
"4375, Qld",58
"4376, Qld",122
"4377, Qld",177
"4378, Qld",186
"4380, Qld",3121
"4381, Qld",174
"4382, Qld",178
"4385, Qld",526
"4387, Qld",570
"4388, Qld",185
"4390, Qld",2598
"4400, Qld",660
"4401, Qld",1996
"4402, Qld",117
"4403, Qld",291
"4404, Qld",122
"4405, Qld",5051
"4406, Qld",576
"4407, Qld",255
"4408, Qld",340
"4410, Qld",525
"4411, Qld",123
"4412, Qld",133
"4413, Qld",2577
"4415, Qld",758
"4416, Qld",179
"4417, Qld",300
"4419, Qld",449
"4420, Qld",453
"4421, Qld",889
"4422, Qld",291
"4424, Qld",79
"4425, Qld",104
"4427, Qld",82
"4428, Qld",370
"4454, Qld",378
"4455, Qld",3182
"4462, Qld",52
"4465, Qld",723
"4468, Qld",142
"4470, Qld",1515
"4472, Qld",708
"4477, Qld",264
"4478, Qld",278
"4480, Qld",461
"4481, Qld",194
"4486, Qld",291
"4487, Qld",1287
"4488, Qld",140
"4490, Qld",900
"4492, Qld",199
"4494, Qld",81
"4496, Qld",147
"4497, Qld",154
"4498, Qld",84
"4500, Qld",12848
"4501, Qld",2100
"4502, Qld",2981
"4503, Qld",12477
"4504, Qld",4995
"4505, Qld",6558
"4506, Qld",6656
"4507, Qld",7974
"4508, Qld",7062
"4509, Qld",6407
"4510, Qld",15558
"4511, Qld",3044
"4512, Qld",967
"4514, Qld",1985
"4515, Qld",1335
"4516, Qld",1158
"4517, Qld",252
"4518, Qld",1681
"4519, Qld",2806
"4520, Qld",4002
"4521, Qld",1561
"4550, Qld",1583
"4551, Qld",19980
"4552, Qld",3335
"4553, Qld",1794
"4554, Qld",637
"4555, Qld",2368
"4556, Qld",14455
"4557, Qld",6044
"4558, Qld",8450
"4559, Qld",2169
"4560, Qld",10907
"4561, Qld",2421
"4562, Qld",2642
"4563, Qld",3107
"4564, Qld",4095
"4565, Qld",5841
"4566, Qld",3338
"4567, Qld",4584
"4568, Qld",1304
"4569, Qld",586
"4570, Qld",15391
"4571, Qld",273
"4572, Qld",1751
"4573, Qld",8471
"4574, Qld",514
"4575, Qld",8550
"4580, Qld",2077
"4581, Qld",927
"4600, Qld",437
"4601, Qld",432
"4605, Qld",1622
"4606, Qld",875
"4608, Qld",364
"4610, Qld",5705
"4611, Qld",92
"4612, Qld",165
"4613, Qld",247
"4614, Qld",528
"4615, Qld",2778
"4620, Qld",231
"4621, Qld",637
"4625, Qld",1300
"4626, Qld",942
"4627, Qld",286
"4630, Qld",1134
"4650, Qld",13024
"4655, Qld",22953
"4659, Qld",1923
"4660, Qld",2934
"4662, Qld",375
"4670, Qld",30867
"4671, Qld",2395
"4673, Qld",232
"4674, Qld",605
"4676, Qld",106
"4677, Qld",1498
"4678, Qld",384
"4680, Qld",18832
"4694, Qld",83
"4695, Qld",508
"4699, Qld",212
"4700, Qld",7134
"4701, Qld",15962
"4702, Qld",10028
"4703, Qld",8337
"4705, Qld",123
"4707, Qld",273
"4709, Qld",431
"4710, Qld",1607
"4711, Qld",560
"4712, Qld",133
"4713, Qld",220
"4714, Qld",1291
"4715, Qld",2689
"4716, Qld",364
"4717, Qld",1825
"4718, Qld",1059
"4719, Qld",387
"4720, Qld",4756
"4721, Qld",1456
"4722, Qld",665
"4723, Qld",603
"4724, Qld",240
"4725, Qld",755
"4726, Qld",285
"4727, Qld",156
"4728, Qld",165
"4730, Qld",1682
"4731, Qld",193
"4733, Qld",235
"4735, Qld",507
"4737, Qld",2770
"4738, Qld",446
"4739, Qld",199
"4740, Qld",29027
"4741, Qld",3093
"4742, Qld",547
"4743, Qld",450
"4744, Qld",3015
"4745, Qld",980
"4746, Qld",620
"4750, Qld",1867
"4751, Qld",1459
"4753, Qld",960
"4754, Qld",661
"4756, Qld",218
"4757, Qld",170
"4798, Qld",245
"4799, Qld",390
"4800, Qld",3485
"4801, Qld",3
"4802, Qld",3737
"4803, Qld",304
"4804, Qld",1045
"4805, Qld",4675
"4806, Qld",1632
"4807, Qld",4434
"4808, Qld",478
"4809, Qld",423
"4810, Qld",9904
"4811, Qld",4247
"4812, Qld",8476
"4813, Qld",0
"4814, Qld",15646
"4815, Qld",6993
"4816, Qld",3096
"4817, Qld",10227
"4818, Qld",7199
"4819, Qld",1185
"4820, Qld",4146
"4821, Qld",674
"4822, Qld",403
"4823, Qld",390
"4824, Qld",1181
"4828, Qld",180
"4829, Qld",390
"4830, Qld",321
"4849, Qld",766
"4850, Qld",4890
"4852, Qld",1708
"4854, Qld",2186
"4855, Qld",366
"4856, Qld",213
"4857, Qld",75
"4858, Qld",528
"4859, Qld",165
"4860, Qld",4478
"4861, Qld",448
"4865, Qld",2658
"4868, Qld",8181
"4869, Qld",5896
"4870, Qld",27780
"4871, Qld",6065
"4872, Qld",1597
"4873, Qld",2668
"4874, Qld",1612
"4875, Qld",1916
"4876, Qld",804
"4877, Qld",2463
"4878, Qld",5072
"4879, Qld",7187
"4880, Qld",4629
"4881, Qld",1661
"4882, Qld",975
"4883, Qld",3344
"4884, Qld",716
"4885, Qld",1474
"4886, Qld",365
"4887, Qld",916
"4888, Qld",1174
"4890, Qld",659
"4891, Qld",602
"4895, Qld",1675
"5000, SA",6505
"5005, SA",0
"5006, SA",2934
"5007, SA",2698
"5008, SA",5556
"5009, SA",1989
"5010, SA",2085
"5011, SA",3805
"5012, SA",3673
"5013, SA",4055
"5014, SA",5065
"5015, SA",2683
"5016, SA",3455
"5017, SA",2120
"5018, SA",2312
"5019, SA",4094
"5020, SA",1197
"5021, SA",2463
"5022, SA",6246
"5023, SA",6876
"5024, SA",5352
"5025, SA",3169
"5031, SA",4145
"5032, SA",5232
"5033, SA",3432
"5034, SA",4006
"5035, SA",2612
"5037, SA",4383
"5038, SA",6657
"5039, SA",3656
"5040, SA",964
"5041, SA",4980
"5042, SA",4184
"5043, SA",7933
"5044, SA",4552
"5045, SA",7298
"5046, SA",3639
"5047, SA",3212
"5048, SA",5718
"5049, SA",3872
"5050, SA",2068
"5051, SA",4950
"5052, SA",2396
"5061, SA",3997
"5062, SA",5802
"5063, SA",4904
"5064, SA",3707
"5065, SA",4098
"5066, SA",4361
"5067, SA",4661
"5068, SA",5193
"5069, SA",3450
"5070, SA",6274
"5072, SA",4875
"5073, SA",5838
"5074, SA",5007
"5075, SA",3965
"5076, SA",3330
"5081, SA",3632
"5082, SA",5782
"5083, SA",3125
"5084, SA",3755
"5085, SA",6030
"5086, SA",6162
"5087, SA",4636
"5088, SA",1368
"5089, SA",2401
"5090, SA",3115
"5091, SA",2840
"5092, SA",6282
"5093, SA",3498
"5094, SA",307
"5095, SA",6936
"5096, SA",5499
"5097, SA",5226
"5098, SA",4677
"5106, SA",0
"5107, SA",5469
"5108, SA",14487
"5109, SA",7933
"5110, SA",2882
"5111, SA",0
"5112, SA",7872
"5113, SA",7544
"5114, SA",10184
"5115, SA",2518
"5116, SA",3069
"5117, SA",723
"5118, SA",6815
"5120, SA",623
"5121, SA",515
"5125, SA",6797
"5126, SA",2766
"5127, SA",3018
"5131, SA",296
"5132, SA",124
"5133, SA",182
"5134, SA",166
"5136, SA",173
"5137, SA",159
"5138, SA",139
"5139, SA",66
"5140, SA",159
"5141, SA",239
"5142, SA",200
"5144, SA",154
"5151, SA",131
"5152, SA",2230
"5153, SA",2328
"5154, SA",1102
"5155, SA",1467
"5156, SA",353
"5157, SA",988
"5158, SA",8710
"5159, SA",12095
"5160, SA",13
"5161, SA",3940
"5162, SA",13336
"5163, SA",5485
"5164, SA",2210
"5165, SA",2260
"5166, SA",823
"5167, SA",2165
"5168, SA",1930
"5169, SA",5437
"5170, SA",465
"5171, SA",2189
"5172, SA",1455
"5173, SA",4574
"5174, SA",1020
"5201, SA",665
"5202, SA",243
"5203, SA",432
"5204, SA",1129
"5210, SA",610
"5211, SA",6377
"5212, SA",878
"5213, SA",477
"5214, SA",3505
"5220, SA",55
"5221, SA",100
"5222, SA",272
"5223, SA",1517
"5231, SA",418
"5232, SA",162
"5233, SA",493
"5234, SA",477
"5235, SA",799
"5236, SA",230
"5237, SA",28
"5238, SA",1686
"5240, SA",211
"5241, SA",896
"5242, SA",416
"5243, SA",356
"5244, SA",1429
"5245, SA",1252
"5250, SA",1091
"5251, SA",4937
"5252, SA",2115
"5253, SA",7142
"5254, SA",891
"5255, SA",3295
"5256, SA",513
"5259, SA",276
"5260, SA",762
"5261, SA",148
"5262, SA",196
"5263, SA",140
"5264, SA",646
"5265, SA",340
"5266, SA",129
"5267, SA",848
"5268, SA",1213
"5269, SA",97
"5270, SA",346
"5271, SA",2725
"5272, SA",366
"5275, SA",976
"5276, SA",620
"5277, SA",1063
"5278, SA",205
"5279, SA",146
"5280, SA",3037
"5290, SA",10413
"5291, SA",3043
"5301, SA",192
"5302, SA",355
"5303, SA",145
"5304, SA",250
"5307, SA",251
"5308, SA",91
"5309, SA",72
"5311, SA",242
"5320, SA",293
"5321, SA",131
"5322, SA",402
"5330, SA",1281
"5331, SA",270
"5332, SA",57
"5333, SA",2308
"5340, SA",594
"5341, SA",3076
"5342, SA",439
"5343, SA",2229
"5344, SA",335
"5345, SA",1450
"5346, SA",169
"5350, SA",161
"5351, SA",1972
"5352, SA",2081
"5353, SA",1582
"5354, SA",221
"5355, SA",2878
"5356, SA",249
"5357, SA",272
"5360, SA",399
"5371, SA",458
"5372, SA",677
"5373, SA",1289
"5374, SA",587
"5381, SA",147
"5400, SA",318
"5401, SA",332
"5410, SA",89
"5411, SA",121
"5412, SA",503
"5413, SA",305
"5414, SA",100
"5415, SA",145
"5416, SA",60
"5417, SA",772
"5419, SA",105
"5421, SA",106
"5422, SA",917
"5431, SA",373
"5433, SA",631
"5434, SA",160
"5440, SA",284
"5451, SA",253
"5452, SA",173
"5453, SA",1809
"5454, SA",152
"5460, SA",235
"5461, SA",1019
"5462, SA",151
"5464, SA",159
"5470, SA",98
"5472, SA",105
"5473, SA",332
"5480, SA",344
"5481, SA",237
"5482, SA",233
"5483, SA",195
"5485, SA",342
"5490, SA",76
"5491, SA",751
"5495, SA",248
"5501, SA",2413
"5502, SA",598
"5510, SA",148
"5520, SA",261
"5521, SA",151
"5522, SA",735
"5523, SA",713
"5540, SA",6346
"5550, SA",373
"5552, SA",41
"5554, SA",2096
"5555, SA",207
"5556, SA",1681
"5558, SA",1772
"5560, SA",171
"5570, SA",358
"5571, SA",785
"5572, SA",144
"5573, SA",860
"5575, SA",1322
"5576, SA",403
"5577, SA",100
"5580, SA",181
"5581, SA",239
"5582, SA",235
"5583, SA",362
"5600, SA",2994
"5601, SA",92
"5602, SA",466
"5603, SA",118
"5604, SA",56
"5605, SA",794
"5606, SA",5757
"5607, SA",1715
"5608, SA",6114
"5609, SA",526
"5630, SA",78
"5631, SA",396
"5633, SA",172
"5640, SA",413
"5641, SA",445
"5642, SA",183
"5650, SA",113
"5652, SA",230
"5654, SA",141
"5670, SA",164
"5680, SA",963
"5690, SA",1671
"5700, SA",4799
"5710, SA",1128
"5720, SA",124
"5722, SA",290
"5723, SA",841
"5724, SA",182
"5725, SA",1474
"5731, SA",600
"5732, SA",79
"5734, SA",61
"5950, SA",0
"5960, SA",11
"6000, WA",4845
"6003, WA",1492
"6004, WA",4375
"6005, WA",2935
"6006, WA",3555
"6007, WA",3001
"6008, WA",6292
"6009, WA",6173
"6010, WA",6204
"6011, WA",3520
"6012, WA",3582
"6014, WA",7640
"6015, WA",2226
"6016, WA",3983
"6017, WA",2093
"6018, WA",13764
"6019, WA",9078
"6020, WA",7661
"6021, WA",7665
"6022, WA",1946
"6023, WA",5295
"6024, WA",5105
"6025, WA",11075
"6026, WA",7849
"6027, WA",15288
"6028, WA",6445
"6029, WA",1000
"6030, WA",12946
"6031, WA",3643
"6032, WA",72
"6033, WA",238
"6035, WA",1507
"6036, WA",3503
"6037, WA",901
"6041, WA",521
"6042, WA",28
"6043, WA",84
"6044, WA",605
"6050, WA",6062
"6051, WA",6191
"6052, WA",4390
"6053, WA",5638
"6054, WA",8007
"6055, WA",4347
"6056, WA",14381
"6057, WA",5811
"6058, WA",4654
"6059, WA",9074
"6060, WA",10568
"6061, WA",13209
"6062, WA",11863
"6063, WA",4689
"6064, WA",10645
"6065, WA",17726
"6066, WA",6195
"6067, WA",32
"6068, WA",3
"6069, WA",8476
"6070, WA",1300
"6071, WA",1255
"6072, WA",298
"6073, WA",1221
"6074, WA",343
"6076, WA",7883
"6077, WA",534
"6078, WA",266
"6079, WA",0
"6081, WA",1602
"6082, WA",1099
"6083, WA",1257
"6084, WA",2264
"6090, WA",5
"6100, WA",6238
"6101, WA",6469
"6102, WA",5369
"6103, WA",3728
"6104, WA",5457
"6105, WA",5453
"6106, WA",4
"6107, WA",13673
"6108, WA",8248
"6109, WA",4070
"6110, WA",12789
"6111, WA",8282
"6112, WA",14744
"6121, WA",875
"6122, WA",3058
"6123, WA",488
"6124, WA",389
"6125, WA",954
"6126, WA",100
"6147, WA",5611
"6148, WA",6499
"6149, WA",6553
"6150, WA",4410
"6151, WA",7288
"6152, WA",10183
"6153, WA",7575
"6154, WA",3882
"6155, WA",15378
"6156, WA",6263
"6157, WA",5735
"6158, WA",2750
"6159, WA",1266
"6160, WA",3746
"6161, WA",48
"6162, WA",4543
"6163, WA",18604
"6164, WA",16297
"6165, WA",34
"6166, WA",3068
"6167, WA",8411
"6168, WA",9963
"6169, WA",12943
"6170, WA",2201
"6171, WA",5301
"6172, WA",4503
"6173, WA",3185
"6174, WA",771
"6175, WA",981
"6176, WA",229
"6180, WA",1185
"6181, WA",152
"6182, WA",0
"6207, WA",383
"6208, WA",3734
"6209, WA",768
"6210, WA",24576
"6211, WA",2052
"6213, WA",301
"6214, WA",137
"6215, WA",1386
"6218, WA",195
"6220, WA",1816
"6221, WA",153
"6224, WA",451
"6225, WA",3430
"6226, WA",213
"6227, WA",173
"6229, WA",208
"6230, WA",16021
"6232, WA",3396
"6233, WA",5598
"6236, WA",690
"6237, WA",926
"6239, WA",1503
"6240, WA",112
"6244, WA",635
"6251, WA",177
"6253, WA",266
"6254, WA",267
"6255, WA",1420
"6256, WA",82
"6258, WA",2515
"6260, WA",615
"6262, WA",345
"6271, WA",1056
"6275, WA",564
"6280, WA",9014
"6281, WA",2105
"6282, WA",461
"6284, WA",584
"6285, WA",2962
"6286, WA",257
"6288, WA",174
"6290, WA",735
"6302, WA",1396
"6304, WA",685
"6306, WA",365
"6308, WA",644
"6309, WA",117
"6311, WA",235
"6312, WA",1829
"6313, WA",140
"6315, WA",753
"6316, WA",159
"6317, WA",1581
"6318, WA",91
"6320, WA",323
"6321, WA",112
"6322, WA",179
"6323, WA",386
"6324, WA",1199
"6326, WA",186
"6327, WA",118
"6328, WA",187
"6330, WA",12772
"6333, WA",2181
"6335, WA",317
"6336, WA",114
"6337, WA",197
"6338, WA",319
"6341, WA",122
"6343, WA",94
"6346, WA",254
"6348, WA",567
"6350, WA",103
"6352, WA",165
"6353, WA",299
"6355, WA",353
"6358, WA",92
"6359, WA",156
"6365, WA",251
"6367, WA",114
"6368, WA",79
"6369, WA",258
"6370, WA",222
"6373, WA",97
"6375, WA",364
"6383, WA",433
"6386, WA",97
"6390, WA",622
"6391, WA",379
"6392, WA",206
"6393, WA",160
"6394, WA",156
"6395, WA",612
"6396, WA",145
"6397, WA",126
"6398, WA",237
"6401, WA",2951
"6403, WA",78
"6405, WA",113
"6407, WA",399
"6409, WA",153
"6410, WA",451
"6413, WA",57
"6415, WA",1160
"6418, WA",307
"6421, WA",89
"6423, WA",105
"6425, WA",69
"6426, WA",449
"6429, WA",492
"6430, WA",8321
"6431, WA",168
"6432, WA",2959
"6434, WA",39
"6436, WA",80
"6437, WA",220
"6438, WA",311
"6440, WA",257
"6442, WA",1004
"6443, WA",512
"6445, WA",59
"6447, WA",151
"6448, WA",136
"6450, WA",4840
"6460, WA",417
"6461, WA",177
"6462, WA",120
"6468, WA",71
"6472, WA",82
"6475, WA",184
"6477, WA",130
"6479, WA",223
"6484, WA",34
"6485, WA",245
"6488, WA",151
"6490, WA",95
"6501, WA",364
"6502, WA",410
"6503, WA",821
"6505, WA",107
"6507, WA",161
"6509, WA",141
"6510, WA",770
"6511, WA",242
"6513, WA",64
"6514, WA",284
"6515, WA",194
"6516, WA",667
"6517, WA",198
"6518, WA",53
"6519, WA",266
"6521, WA",133
"6522, WA",200
"6525, WA",1490
"6528, WA",114
"6530, WA",12276
"6532, WA",2290
"6535, WA",691
"6536, WA",953
"6537, WA",603
"6556, WA",693
"6558, WA",310
"6560, WA",470
"6562, WA",445
"6564, WA",131
"6566, WA",1254
"6567, WA",156
"6568, WA",94
"6569, WA",143
"6575, WA",90
"6603, WA",459
"6606, WA",139
"6608, WA",96
"6609, WA",241
"6612, WA",98
"6620, WA",76
"6623, WA",457
"6628, WA",72
"6630, WA",210
"6635, WA",128
"6638, WA",241
"6639, WA",79
"6640, WA",183
"6642, WA",416
"6646, WA",177
"6701, WA",3428
"6705, WA",101
"6707, WA",1939
"6710, WA",655
"6713, WA",501
"6714, WA",5820
"6716, WA",209
"6718, WA",277
"6720, WA",802
"6721, WA",1784
"6722, WA",3455
"6725, WA",4449
"6726, WA",2681
"6728, WA",2146
"6740, WA",804
"6743, WA",2984
"6751, WA",1425
"6753, WA",1811
"6754, WA",509
"6758, WA",83
"6760, WA",160
"6762, WA",65
"6765, WA",566
"6770, WA",918
"6907, WA",81
"7000, Tas",5886
"7004, Tas",3141
"7005, Tas",5143
"7007, Tas",1187
"7008, Tas",4984
"7009, Tas",5295
"7010, Tas",6892
"7011, Tas",5905
"7012, Tas",306
"7015, Tas",4080
"7016, Tas",901
"7017, Tas",1649
"7018, Tas",8359
"7019, Tas",2134
"7020, Tas",837
"7021, Tas",865
"7022, Tas",337
"7023, Tas",144
"7024, Tas",183
"7025, Tas",682
"7026, Tas",333
"7027, Tas",157
"7030, Tas",6255
"7050, Tas",4700
"7052, Tas",2559
"7053, Tas",1336
"7054, Tas",2855
"7055, Tas",159
"7109, Tas",3060
"7112, Tas",1158
"7113, Tas",384
"7116, Tas",957
"7117, Tas",346
"7120, Tas",821
"7140, Tas",4182
"7150, Tas",1061
"7155, Tas",389
"7162, Tas",249
"7163, Tas",93
"7170, Tas",1621
"7171, Tas",1228
"7172, Tas",1238
"7173, Tas",2529
"7176, Tas",158
"7177, Tas",197
"7178, Tas",149
"7179, Tas",151
"7180, Tas",124
"7182, Tas",103
"7183, Tas",37
"7184, Tas",335
"7186, Tas",115
"7190, Tas",1311
"7209, Tas",201
"7210, Tas",442
"7211, Tas",161
"7212, Tas",711
"7213, Tas",124
"7214, Tas",280
"7215, Tas",1434
"7216, Tas",1505
"7248, Tas",6302
"7249, Tas",5203
"7250, Tas",19151
"7252, Tas",890
"7253, Tas",2091
"7254, Tas",185
"7255, Tas",343
"7256, Tas",712
"7257, Tas",36
"7258, Tas",327
"7259, Tas",189
"7260, Tas",1284
"7261, Tas",89
"7262, Tas",734
"7263, Tas",281
"7264, Tas",305
"7265, Tas",113
"7267, Tas",320
"7268, Tas",420
"7270, Tas",1767
"7275, Tas",1214
"7276, Tas",232
"7277, Tas",1865
"7290, Tas",794
"7291, Tas",338
"7292, Tas",273
"7300, Tas",1151
"7301, Tas",1650
"7302, Tas",685
"7303, Tas",984
"7304, Tas",2383
"7305, Tas",485
"7306, Tas",1510
"7307, Tas",3700
"7310, Tas",11007
"7315, Tas",5780
"7316, Tas",2355
"7320, Tas",6902
"7321, Tas",1810
"7322, Tas",1613
"7325, Tas",3450
"7330, Tas",2595
"7331, Tas",201
"7467, Tas",906
"7468, Tas",305
"7469, Tas",404
"7470, Tas",430
Unclassified (Aust.),14
"0800, NT",2100
"0810, NT",11275
"0812, NT",6784
"0820, NT",7545
"0822, NT",5435
"0828, NT",391
"0829, NT",321
"0830, NT",6289
"0832, NT",3293
"0835, NT",2234
"0836, NT",2471
"0837, NT",204
"0838, NT",309
"0840, NT",374
"0841, NT",244
"0845, NT",188
"0846, NT",131
"0847, NT",168
"0850, NT",3106
"0852, NT",2464
"0853, NT",163
"0854, NT",237
"0860, NT",1042
"0862, NT",247
"0870, NT",9747
"0880, NT",1677
"0885, NT",307
"0886, NT",541
"2600, ACT",2920
"2601, ACT",1067
"2602, ACT",11882
"2603, ACT",3584
"2604, ACT",3934
"2605, ACT",4369
"2606, ACT",3680
"2607, ACT",5371
"2609, ACT",420
"2611, ACT",8996
"2612, ACT",6323
"2614, ACT",7548
"2615, ACT",16211
"2617, ACT",10924
"2900, ACT",732
"2902, ACT",5782
"2903, ACT",3513
"2904, ACT",4652
"2905, ACT",10230
"2906, ACT",6225
"2911, ACT",247
"2912, ACT",2626
"2913, ACT",9011
"2914, ACT",4500
"6798, OT",559
"6799, OT",155
2540 crosses NSW/OT,16376
2618 crosses NSW/ACT,472
2620 crosses NSW/ACT,14493
3585 crosses Vic./NSW,4364
3644 crosses Vic./NSW,3506
4383 crosses Qld/NSW,300
4825 crosses Qld/NT,8362
0872 crosses NT/SA/WA,4020
Migratory - Offshore - Shipping (Aust.),0
Total,8182565
,
,
Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,
