POA,Occupied private dwellings
"2386, NSW",150
"2388, NSW",1216
"2390, NSW",3291
"2395, NSW",339
"2396, NSW",498
"2397, NSW",168
"2399, NSW",330
"2400, NSW",4018
"2401, NSW",128
"2402, NSW",804
"2403, NSW",221
"2404, NSW",779
"2405, NSW",237
"2406, NSW",306
"2408, NSW",170
"2409, NSW",359
"2410, NSW",148
"2415, NSW",113
"2420, NSW",1660
"2421, NSW",557
"2422, NSW",2237
"2423, NSW",1364
"2424, NSW",216
"2425, NSW",593
"2426, NSW",214
"2427, NSW",1171
"2428, NSW",10316
"2429, NSW",3731
"2430, NSW",13178
"2431, NSW",2401
"2439, NSW",913
"2440, NSW",8188
"2441, NSW",2399
"2443, NSW",4071
"2444, NSW",18326
"2445, NSW",2275
"2446, NSW",4722
"2447, NSW",2737
"2448, NSW",4018
"2449, NSW",932
"2450, NSW",15400
"2452, NSW",6168
"2453, NSW",1155
"2454, NSW",2935
"2455, NSW",1405
"2456, NSW",5505
"2460, NSW",11170
"2462, NSW",1071
"2463, NSW",2850
"2464, NSW",3225
"2465, NSW",145
"2466, NSW",939
"2469, NSW",1765
"2470, NSW",5739
"2471, NSW",927
"2472, NSW",747
"2473, NSW",1539
"2474, NSW",2620
"2475, NSW",180
"2476, NSW",386
"2477, NSW",4459
"2478, NSW",11430
"2479, NSW",1761
"2480, NSW",17601
"2481, NSW",4608
"2482, NSW",2394
"2483, NSW",4319
"2484, NSW",7134
"2485, NSW",6476
"2486, NSW",12734
"2487, NSW",4850
"2488, NSW",1251
"2489, NSW",2473
"2490, NSW",257
"2500, NSW",16107
"2502, NSW",4586
"2505, NSW",1999
"2506, NSW",2841
"2508, NSW",2817
"2515, NSW",3842
"2516, NSW",2064
"2517, NSW",4986
"2518, NSW",7713
"2519, NSW",6275
"2525, NSW",3796
"2526, NSW",5454
"2527, NSW",6930
"2528, NSW",9374
"2529, NSW",7901
"2530, NSW",10716
"2533, NSW",5819
"2534, NSW",1834
"2535, NSW",3005
"2536, NSW",7365
"2537, NSW",4665
"2538, NSW",852
"2539, NSW",7154
"2541, NSW",9851
"2545, NSW",452
"2546, NSW",4007
"2548, NSW",3127
"2549, NSW",1441
"2550, NSW",6314
"2551, NSW",1485
"2555, NSW",141
"2556, NSW",718
"2557, NSW",1173
"2558, NSW",3495
"2559, NSW",1049
"2560, NSW",24789
"2563, NSW",79
"2564, NSW",4584
"2565, NSW",5753
"2566, NSW",7708
"2567, NSW",10579
"2568, NSW",289
"2569, NSW",405
"2570, NSW",9598
"2571, NSW",3407
"2572, NSW",1328
"2573, NSW",1666
"2574, NSW",1865
"2575, NSW",5196
"2576, NSW",5147
"2577, NSW",5763
"2578, NSW",1012
"2579, NSW",1396
"2580, NSW",10760
"2581, NSW",804
"2582, NSW",4186
"2583, NSW",1666
"2584, NSW",201
"2585, NSW",116
"2586, NSW",1135
"2587, NSW",1192
"2588, NSW",114
"2590, NSW",2953
"2594, NSW",4440
"2619, NSW",3032
"2621, NSW",1858
"2622, NSW",1347
"2623, NSW",302
"2625, NSW",551
"2626, NSW",181
"2627, NSW",2004
"2628, NSW",753
"2629, NSW",279
"2630, NSW",3476
"2631, NSW",307
"2632, NSW",709
"2633, NSW",208
"2640, NSW",13335
"2641, NSW",6145
"2642, NSW",1850
"2643, NSW",1042
"2644, NSW",1083
"2645, NSW",133
"2646, NSW",2831
"2647, NSW",845
"2648, NSW",1080
"2649, NSW",4
"2650, NSW",20745
"2651, NSW",658
"2652, NSW",1854
"2653, NSW",898
"2655, NSW",399
"2656, NSW",520
"2658, NSW",564
"2659, NSW",348
"2660, NSW",642
"2661, NSW",64
"2663, NSW",1490
"2665, NSW",930
"2666, NSW",2066
"2668, NSW",157
"2669, NSW",764
"2671, NSW",1603
"2672, NSW",595
"2675, NSW",608
"2678, NSW",0
"2680, NSW",8320
"2681, NSW",625
"2700, NSW",1982
"2701, NSW",896
"2702, NSW",244
"2703, NSW",259
"2705, NSW",3758
"2706, NSW",460
"2707, NSW",501
"2710, NSW",4201
"2711, NSW",1382
"2712, NSW",606
"2713, NSW",1250
"2714, NSW",1026
"2715, NSW",668
"2716, NSW",437
"2717, NSW",549
"2720, NSW",3133
"2721, NSW",136
"2722, NSW",1184
"2725, NSW",183
"2726, NSW",132
"2727, NSW",220
"2729, NSW",684
"2730, NSW",620
"2731, NSW",2281
"2732, NSW",811
"2733, NSW",251
"2735, NSW",226
"2736, NSW",177
"2737, NSW",302
"2738, NSW",467
"2739, NSW",640
"2745, NSW",8206
"2747, NSW",12224
"2748, NSW",545
"2749, NSW",5109
"2750, NSW",16457
"2752, NSW",1506
"2753, NSW",5954
"2754, NSW",1950
"2756, NSW",11168
"2757, NSW",305
"2758, NSW",2795
"2759, NSW",8160
"2760, NSW",9894
"2761, NSW",7902
"2762, NSW",1312
"2763, NSW",9353
"2765, NSW",4889
"2766, NSW",4157
"2767, NSW",6076
"2768, NSW",7537
"2769, NSW",897
"2770, NSW",19133
"2773, NSW",2062
"2774, NSW",4575
